[INFO ] [2021-08-11 11:21:33,456] Pre-conditon - Step 01: Open browser  firefox with https://demo.nopcommerce.com/ 
[INFO ] [2021-08-11 11:21:46,684] Register_01 - Step 01: Verify Homepage displayed
[INFO ] [2021-08-11 11:21:46,889]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-08-11 11:21:46,892] Register_01 - Step 02: Click to Register Link
[INFO ] [2021-08-11 11:21:50,045] Register_01 - Step 03: Click to Male button
[INFO ] [2021-08-11 11:21:50,379] Register_01 - Step 04: Input FirstName/LastName
[INFO ] [2021-08-11 11:21:50,640] Register_01 - Step 05: Input 'Email' textbox autofc8994@mail.com
[INFO ] [2021-08-11 11:21:50,751] Register_01 - Step 06: Input 'Password' textbox 123123
[INFO ] [2021-08-11 11:21:50,945] Register_01 - Step 07: Click Register button
[INFO ] [2021-08-11 11:21:55,295] Register_01 - Step 08: Verify Successfully message
[INFO ] [2021-08-11 11:21:55,384]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-08-11 11:21:55,385] Register_01 - Step 09: Click Logout
[INFO ] [2021-08-11 11:21:57,022] Login_02 - Step 01: Click Login link
[INFO ] [2021-08-11 11:21:59,318] Login_02 - Step 02: Input 'Email' autofc8994@mail.com
[INFO ] [2021-08-11 11:21:59,445] Login_02 - Step 03: Input 'Password' 123123
[INFO ] [2021-08-11 11:21:59,544] Login_02 - Step 04: Click to Login button
[INFO ] [2021-08-11 11:22:02,619] Login_02 - Step 05: Verify Homepage displayed
[INFO ] [2021-08-11 11:22:02,707]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-08-12 23:19:33,213] Pre-conditon - Step 01: Open browser  firefox with https://demo.nopcommerce.com/ 
[INFO ] [2021-08-12 23:19:46,037] Register_01 - Step 01: Verify Homepage displayed
[INFO ] [2021-08-12 23:19:46,175]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-08-12 23:19:46,176] Register_01 - Step 02: Click to Register Link
[INFO ] [2021-08-12 23:19:49,310] Register_01 - Step 03: Click to Male button
[INFO ] [2021-08-12 23:19:49,624] Register_01 - Step 04: Input FirstName/LastName
[INFO ] [2021-08-12 23:19:49,896] Register_01 - Step 05: Input 'Email' textbox autofc4794@mail.com
[INFO ] [2021-08-12 23:19:50,028] Register_01 - Step 06: Input 'Password' textbox 123123
